year,agency_num,home_rule_ind,agg_ext_base_year,lim_numerator,lim_denominator,lim_rate,prior_eav,curr_new_prop,cty_cook_eav,cty_total_eav,pct_burden,total_levy,total_max_levy,total_prelim_rate,total_reduced_levy,total_final_levy,total_final_rate,reduction_type,reduction_pct,total_non_cap_ext,total_ext,first6,agency_name,major_type,minor_type,muni_num,muni_name,clean_name,Triad,Township,reassess_year,pct_inCook,year.y,cpi,ptell_cook,eq_factor_final,pct_in_Cook,av,first6_w_hr,agency_w_hr,total_final_levy_4log,log_eav,log_levy,log_av
2006,020130000,0,2005,3942485,NA,0.089,NA,139565339,4597130136.986301,4597130136.986301,1,3392670,3392670,0.074,3355905,3355905,0.073,CLERK,0.988888,NA,3355905.26,020130,TOWN MAINE,MUNICIPALITY/TOWNSHIP,TOWNSHIP,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,1697861625.4196713,020130_0,020130000_0,3355906,22.248698062481466,15.0262323366418,21.25263542882915
2006,020130002,0,2005,3942485,NA,0.089,NA,139565339,4482200000,4482200000,1,727001,727001,0.016,717152,717152,0.016,CLERK,0.988888,NA,735540.88,020130,GENERAL ASSISTANCE MAINE,MUNICIPALITY/TOWNSHIP,GEN ASST,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,1655414389.126902,020130_0,020130002_0,717153,22.223379834265764,13.483044485938876,21.227317200613445
2006,020130003,0,2005,1669759,NA,0.038,NA,139565339,4593257894.736842,4593257894.736842,1,1745438,1745438,0.038,NA,1745438,0.038,NA,NA,NA,1746909.59,020130,ROAD AND BRIDGE MAINE,MUNICIPALITY/TOWNSHIP,INFRA,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,1696431487.1978292,020130_0,020130003_0,1745439,22.247855390231887,14.372516657909978,21.251792756579572
2006,020140000,0,2005,1708393,NA,0.041,NA,71468442,4197269230.769231,4197269230.769231,1,1675866,1675866,0.04,1636935,1636935,0.039,CLERK,0.97619,NA,1653898.55,020140,TOWN NEW TRIER,MUNICIPALITY/TOWNSHIP,TOWNSHIP,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,1550180687.9779994,020140_0,020140000_0,1636936,22.157699967624822,14.30833675968186,21.161637333972507
2006,020140002,0,2005,1708393,NA,0.041,NA,71468442,2968533333.3333335,2968533333.3333335,1,87271,87271,0.003,89056,89056,0.003,CLERK,0.97619,NA,127222.97,020140,GENERAL ASSISTANCE NEW TRIER,MUNICIPALITY/TOWNSHIP,GEN ASST,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,1096370709.6075246,020140_0,020140002_0,89057,21.811333840627736,11.397031893152262,20.81527120697542
2006,020150000,0,2005,1486915,NA,0.034,NA,46237615,4438993548.387096,4438993548.387096,1,1376088,1376088,0.031,NA,1376088,0.031,NA,NA,NA,1400792.15,020150,TOWN NILES,MUNICIPALITY/TOWNSHIP,TOWNSHIP,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,1639456916.9696767,020150_0,020150000_0,1376089,22.213693509403942,14.134755975616308,21.217630875751627
2006,020150002,0,2004,1486915,NA,0.034,NA,46237615,3268066666.6666665,3268066666.6666665,1,98042,98042,0.003,NA,98042,0.003,NA,NA,NA,135560.53,020150,GENERAL ASSISTANCE NILES,MUNICIPALITY/TOWNSHIP,GEN ASST,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,1206997587.038952,020150_0,020150002_0,98043,21.907464413572896,11.493161436929087,20.91140177992058
2006,020160000,0,2005,1065344,NA,0.02,NA,76514256,5164890909.09091,5164890909.09091,1,568138,568138,0.011,NA,568138,0.011,NA,NA,NA,598435.1,020160,TOWN NORTHFIELD,MUNICIPALITY/TOWNSHIP,TOWNSHIP,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,1907553150.0557358,020160_0,020160000_0,568139,22.365149818112172,13.250121386074506,21.369087184459858
2006,020160002,0,2005,1065344,NA,0.02,NA,76514256,5278750000,5278750000,1,422300,422300,0.008,NA,422300,0.008,NA,NA,NA,435225.53,020160,GENERAL ASSISTANCE NORTHFIELD,MUNICIPALITY/TOWNSHIP,GEN ASST,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,1949604816.0732753,020160_0,020160002_0,422301,22.386955164212427,12.953473608904076,21.390892530560112
2006,020160003,0,2005,1850334,NA,0.035,NA,76514256,5347054285.714285,5347054285.714285,1,2137585,2137585,0.04,1871469,1871469,0.035,CLERK,0.875,NA,1904111.68,020160,ROAD AND BRIDGE NORTHFIELD,MUNICIPALITY/TOWNSHIP,INFRA,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,1974831690.690754,020160_0,020160003_0,1871470,22.399811645416975,14.442234776275619,21.40374901176466
2006,020160006,0,2004,61831,574134642,0.011,583389172,2618726,576753368,576753368,1,58710,58710,0.011,NA,58710,0.011,NA,NA,NA,63442.87,020160,NORTHFIELD TOWNSHIP SPECIAL POLICE DISTRICT,MISCELLANEOUS,POLICE,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,213012767.02614865,020160_0,020160006_0,58711,20.17292529461964,10.980382381786619,19.176862660967323
2006,020170000,0,2005,502127,854574365,0.059,851960611,11601293,866175658,866175658,1,473825,473825,0.055,NA,473825,0.055,NA,NA,NA,476396.61,020170,TOWN NORWOOD PARK,MUNICIPALITY/TOWNSHIP,TOWNSHIP,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,319905325.01107997,020170_0,020170000_0,473826,20.579598284294978,13.068595444676102,19.583535650642663
2006,020170002,0,2005,502127,854574365,0.059,851960611,11601293,866175658,866175658,1,5150,5150,0.001,NA,5150,0.001,NA,NA,NA,8661.76,020170,GENERAL ASSISTANCE NORWOOD PARK,MUNICIPALITY/TOWNSHIP,GEN ASST,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,319905325.01107997,020170_0,020170002_0,5151,20.579598284294978,8.546946149565585,19.583535650642663
2006,020170003,0,2004,196231,854574365,0.023,851960611,11601293,866175658,866175658,1,185400,185400,0.022,NA,185400,0.022,NA,NA,NA,190558.64,020170,ROAD AND BRIDGE NORWOOD PARK,MUNICIPALITY/TOWNSHIP,INFRA,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,319905325.01107997,020170_0,020170003_0,185401,20.579598284294978,12.130276325842603,19.583535650642663
2006,020170006,0,NA,0,NA,0,36844237,920548,37358818,37358818,1,0,0,0,NA,0,0,NA,NA,NA,0,020170,NORWOOD PARK TOWNSHIP SPECIAL POLICE DISTRICT,MISCELLANEOUS,POLICE,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,13797761.116856258,020170_0,020170006_0,1,17.43607953270879,0,16.440016899056474
2006,020180000,0,2004,3488461,1457583153,0.24,1481423309,4406160,1461989313,1461989313,1,1908552,1908552,0.131,1840644,1840644,0.126,CLERK,0.963855,NA,1842106.53,020180,TOWN OAK PARK,MUNICIPALITY/TOWNSHIP,TOWNSHIP,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,539957642.5616783,020180_0,020180000_0,1840645,21.10306388839776,14.42562661163742,20.107001254745445
2006,020180002,0,2005,3488461,1457583153,0.24,1481423309,4406160,1461989313,1461989313,1,415090,415090,0.029,400584,400584,0.028,CLERK,0.963855,NA,409357.01,020180,GENERAL ASSISTANCE OAK PARK,MUNICIPALITY/TOWNSHIP,GEN ASST,NA,NA,NA,NA,NA,NA,1,2005,196.8,0.034,2.7076,1,539957642.5616783,020180_0,020180002_0,400585,21.10306388839776,12.900681257678569,20.107001254745445
