first6,agency_name,hr_ind,first6_w_hr_ind,grouped_w_hr_ind,grouped_label,agency_num
30220,CITY OF CHICAGO HEIGHTS LIBRARY FUND,1,30220_1,Chicago Heights_1,Chicago Heights,30220001
30230,VILLAGE OF CHICAGO RIDGE,1,30230_1,Chicago Ridge_1,Chicago Ridge,30230000
30230,VILLAGE OF CHICAGO RIDGE LIBRARY FUND,1,30230_1,Chicago Ridge_1,Chicago Ridge,30230001
30240,CITY OF COUNTRY CLUB HILLS,1,30240_1,Country Club Hills_1,Country Club Hills,30240000
30250,CITY OF COUNTRYSIDE,1,30250_1,Countryside_1,Countryside,30250000
30260,VILLAGE OF CRESTWOOD,0,30260_0,Crestwood_0,Crestwood,30260000
30270,VILLAGE OF DEER PARK,1,30270_1,Deer Park_1,Deer Park,30270000
30280,VILLAGE OF DEERFIELD,1,30280_1,Deerfield_1,Deerfield,30280000
30280,VILLAGE OF DEERFIELD LIBRARY FUND,1,30280_1,Deerfield_1,Deerfield,30280001
30290,CITY OF DES PLAINES,1,30290_1,Des Plaines_1,Des Plaines,30290000
30290,CITY OF DES PLAINES LIBRARY FUND,1,30290_1,Des Plaines_1,Des Plaines,30290001
30300,VILLAGE OF DIXMOOR,0,30300_0,Dixmoor_0,Dixmoor,30300000
30310,VILLAGE OF DOLTON,1,30310_1,Dolton_1,Dolton,30310000
30320,VILLAGE OF EAST DUNDEE,1,30320_1,East Dundee_1,East Dundee,30320000
30330,VILLAGE OF EAST HAZELCREST,1,30330_1,East Hazelcrest_1,East Hazelcrest,30330000
30340,CITY OF ELGIN,1,30340_1,Elgin_1,Elgin,30340000
30350,VILLAGE OF ELK GROVE VILLAGE,1,30350_1,Elk Grove Village_1,Elk Grove Village,30350000
30350,VILLAGE OF ELK GROVE VILLAGE LIBRARY,1,30350_1,Elk Grove Village_1,Elk Grove Village,30350001
30370,VILLAGE OF ELMWOOD PARK,1,30370_1,Elmwood Park_1,Elmwood Park,30370000
30370,VILLAGE OF ELMWOOD PARK LIBRARY FUND,1,30370_1,Elmwood Park_1,Elmwood Park,30370001
30380,CITY OF EVANSTON,1,30380_1,Evanston_1,Evanston,30380000
30380,CITY OF EVANSTON GENERAL ASSISTANCE,1,30380_1,Evanston_1,Evanston,30380002
30380,CITY OF EVANSTON LIBRARY FUND,1,30380_1,Evanston_1,Evanston,30380001
30390,VILLAGE OF EVERGREEN PARK,1,30390_1,Evergreen Park_1,Evergreen Park,30390000
30390,VILLAGE OF EVERGREEN PARK LIBRARY FUND,1,30390_1,Evergreen Park_1,Evergreen Park,30390001
30400,VILLAGE OF FLOSSMOOR,0,30400_0,Flossmoor_0,Flossmoor,30400000
30400,VILLAGE OF FLOSSMOOR LIBRARY FUND,0,30400_0,Flossmoor_0,Flossmoor,30400001
30410,VILLAGE OF FORD HEIGHTS,0,30410_0,Ford Heights_0,Ford Heights,30410000
30420,VILLAGE OF FOREST PARK,0,30420_0,Forest Park_0,Forest Park,30420000
30420,VILLAGE OF FOREST PARK LIBRARY FUND,0,30420_0,Forest Park_0,Forest Park,30420001
30430,VILLAGE OF FORESTVIEW,1,30430_1,Forest View,Forest View,30430000
30440,VILLAGE OF FRANKFORT,0,30440_0,Frankfort_0,Frankfort,30440000
30450,VILLAGE OF FRANKLIN PARK,0,30450_0,Franklin Park_0,Franklin Park,30450000
30460,VILLAGE OF GLENCOE,0,30460_0,Glencoe_0,Glencoe,30460000
30460,VILLAGE OF GLENCOE LIBRARY FUND,0,30460_0,Glencoe_0,Glencoe,30460001
30470,VILLAGE OF GLENVIEW,1,30470_1,Glenview_1,Glenview,30470000
30470,VILLAGE OF GLENVIEW LIBRARY FUND,1,30470_1,Glenview_1,Glenview,30470001
30480,VILLAGE OF GLENWOOD,1,30480_1,Glenwood_1,Glenwood,30480000
30490,VILLAGE OF GOLF,1,30490_1,Golf_1,Golf,30490000
30500,VILLAGE OF HANOVER PARK,1,30500_1,Hanover Park_1,Hanover Park,30500000
30510,CITY OF HARVEY,1,30510_1,Harvey_1,Harvey,30510000
30520,VILLAGE OF HARWOOD HEIGHTS,1,30520_1,Harwood Heights_1,Harwood Heights,30520000
30530,VILLAGE OF HAZELCREST,1,30530_1,Hazelcrest_1,Hazelcrest,30530000
30540,CITY OF HICKORY HILLS,0,30540_0,Hickory Hills_0,Hickory Hills,30540000
30550,VILLAGE OF HILLSIDE,1,30550_1,Hillside_1,Hillside,30550000
30550,VILLAGE OF HILLSIDE LIBRARY FUND,1,30550_1,Hillside_1,Hillside,30550001
30560,VILLAGE OF HINSDALE,0,30560_0,Hinsdale_0,Hinsdale,30560000
30560,VILLAGE OF HINSDALE LIBRARY FUND,0,30560_0,Hinsdale_0,Hinsdale,30560001
30570,VILLAGE OF HODGKINS,1,30570_1,Hodgkins_1,Hodgkins,30570000
30580,VILLAGE OF HOFFMAN ESTATES,1,30580_1,Hoffman Estates_1,Hoffman Estates,30580000
30580,VILLAGE OF HOFFMAN ESTATES BOND,1,30580_1,VILLAGE OF HOFFMAN ESTATES BOND_0,VILLAGE OF HOFFMAN ESTATES BOND,30580002
30585,VILLAGE OF HOMER GLEN,1,30585_1,Homer Glen_1,Homer Glen,30585000
30590,CITY OF HOMETOWN,0,30590_0,Hometown_0,Hometown,30590000
30590,CITY OF HOMETOWN LIBRARY FUND,0,30590_0,Hometown_0,Hometown,30590001
30600,VILLAGE OF HOMEWOOD,0,30600_0,Homewood_0,Homewood,30600000
30610,VILLAGE OF INDIAN HEAD PARK,0,30610_0,Indian Head Park_0,Indian Head Park,30610000
30630,VILLAGE OF INVERNESS,1,30630_1,Inverness_1,Inverness,30630000
