year,agency_num,agency_name,triad_name,reassess_year
2006,030460001,VILLAGE OF GLENCOE LIBRARY FUND,North,0
2006,030460100,VILLAGE OF GLENCOE SPECIAL SERVICE AREA / HOGARTH LANE,North,0
2006,030470000,VILLAGE OF GLENVIEW,North,0
2006,030470001,VILLAGE OF GLENVIEW LIBRARY FUND,North,0
2006,030470100,GLENVIEW SPECIAL SERVICE AREA 1,North,0
2006,030470101,VILLAGE GLENVIEW SPECIAL SERVICE AREA 2,North,0
2006,030470102,VILLAGE GLENVIEW SPECIAL SERVICE AREA 3,North,0
2006,030470103,VILLAGE GLENVIEW SPECIAL SERVICE AREA 4,North,0
2006,030470104,VILLAGE OF GLENVIEW SPECIAL SERVICE AREA 5,North,0
2006,030470105,VILLAGE OF GLENVIEW SPECIAL SERVICE AREA 6,North,0
2006,030470106,VILLAGE OF GLENVIEW SPECIAL SERVICE AREA 9,North,0
2006,030470107,VILLAGE OF GLENVIEW SPECIAL SERVICE AREA 10,North,0
2006,030470108,VILLAGE OF GLENVIEW SPECIAL SERVICE AREA 11,North,0
2006,030470109,VILLAGE OF GLENVIEW SPECIAL SERVICE AREA 12,North,0
2006,030470110,VILLAGE OF GLENVIEW SPECIAL SERVICE AREA 16,North,0
2006,030470111,VILLAGE OF GLENVIEW SPECIAL SERVICE AREA 17,North,0
2006,030470112,VILLAGE OF GLENVIEW SPECIAL SERVICE AREA 18,North,0
2006,030470113,VILLAGE OF GLENVIEW SPECIAL SERVICE AREA 20,North,0
2006,030470114,VILLAGE OF GLENVIEW SPECIAL SERVICE AREA 22,North,0
2006,030470115,VILLAGE OF GLENVIEW SPECIAL SERVICE AREA 24,North,0
2006,030470116,VILLAGE OF GLENVIEW SPECIAL SERVICE AREA 27,North,0
2006,030470117,VILLAGE OF GLENVIEW SPECIAL SERVICE AREA 31,North,0
2006,030470118,VILLAGE OF GLENVIEW SPECIAL SERVICE AREA 32,North,0
2006,030470119,VILLAGE OF GLENVIEW SPECIAL SERVICE AREA 33,North,0
2006,030470120,VILLAGE OF GLENVIEW SPECIAL SERVICE AREA 35,North,0
2006,030470121,VILLAGE OF GLENVIEW SPECIAL SERVICE AREA 36,North,0
2006,030470122,VILLAGE OF GLENVIEW SPECIAL SERVICE AREA 37,North,0
2006,030480000,VILLAGE OF GLENWOOD,South,0
2006,030490000,VILLAGE OF GOLF,North,0
2006,030500000,VILLAGE OF HANOVER PARK,North,0
2006,030500100,VILLAGE OF HANOVER PARK SPECIAL SERVICE AREA 1,North,0
2006,030500101,VILLAGE OF HANOVER PARK SPECIAL SERVICE AREA 2,North,0
2006,030500102,VILLAGE OF HANOVER PARK SPECIAL SERVICE AREA 3,North,0
2006,030500103,VILLAGE OF HANOVER PARK SPECIAL SERVICE AREA 4,North,0
2006,030510000,CITY OF HARVEY,South,0
2006,030520000,VILLAGE OF HARWOOD HEIGHTS,North,0
2006,030530000,VILLAGE OF HAZELCREST,South,0
2006,030540000,CITY OF HICKORY HILLS,South,0
2006,030540100,CITY OF HICKORY HILLS SPECIAL SERVICE AREA 1,South,0
2006,030540101,CITY OF HICKORY HILLS SPECIAL SERVICE AREA 2,South,0
2006,030540102,CITY OF HICKORY HILLS SPECIAL SERVICE AREA 4,South,0
2006,030550000,VILLAGE OF HILLSIDE,South,0
2006,030550001,VILLAGE OF HILLSIDE LIBRARY FUND,South,0
2006,030560000,VILLAGE OF HINSDALE,South,0
2006,030560001,VILLAGE OF HINSDALE LIBRARY FUND,South,0
2006,030570000,VILLAGE OF HODGKINS,South,0
2006,030570100,VILLAGE OF HODGKINS SPECIAL SERVICE AREA 1,South,0
2006,030580000,VILLAGE OF HOFFMAN ESTATES,North,0
2006,030590000,CITY OF HOMETOWN,South,0
2006,030590001,CITY OF HOMETOWN LIBRARY FUND,South,0
2006,030600000,VILLAGE OF HOMEWOOD,South,0
2006,030600100,VILLAGE OF HOMEWOOD SPECIAL SERVICE AREA 1,South,0
2006,030610000,VILLAGE OF INDIAN HEAD PARK,South,0
2006,030630000,VILLAGE OF INVERNESS,North,0
2006,030630100,VILLAGE OF INVERNESS SPECIAL SERVICE AREA 1,North,0
2006,030630101,VILLAGE OF INVERNESS SPECIAL SERVICE AREA 2,North,0
2006,030630102,VILLAGE OF INVERNESS SPECIAL SERVICE AREA 3,North,0
2006,030630103,VILLAGE OF INVERNESS SPECIAL SERVICE AREA 4,North,0
2006,030630104,VILLAGE OF INVERNESS SPECIAL SERVICE AREA 5,North,0
2006,030630105,VILLAGE OF INVERNESS SPECIAL SERVICE AREA 6,North,0
2006,030630106,VILLAGE OF INVERNESS SPECIAL SERVICE AREA 7,North,0
2006,030630107,VILLAGE OF INVERNESS SPECIAL SERVICE AREA 8,North,0
2006,030640000,VILLAGE OF JUSTICE,South,0
2006,030650000,VILLAGE OF KENILWORTH,North,0
2006,030660000,VILLAGE OF LA GRANGE,South,0
2006,030660001,VILLAGE OF LA GRANGE LIBRARY FUND,South,0
2006,030660100,VILLAGE OF LAGRANGE SPECIAL SERVICE AREA 4 A,South,0
2006,030660101,VILLAGE OF LAGRANGE SPECIAL SERVICE AREA 7,South,0
2006,030670000,VILLAGE OF LA GRANGE PARK,South,0
2006,030680000,VILLAGE OF LANSING,South,0
2006,030680001,VILLAGE OF LANSING LIBRARY FUND,South,0
2006,030680100,VILLAGE OF LANSING SPECIAL SERVICE AREA 88 - 1,South,0
2006,030680101,VILLAGE OF LANSING SPECIAL SERVICE AREA 88 - 2,South,0
2006,030680102,VILLAGE OF LANSING SPECIAL SERVICE AREA 88 - 3,South,0
2006,030680103,VILLAGE OF LANSING SPECIAL SERVICE AREA 90 - 1,South,0
2006,030680104,VILLAGE OF LANSING SPECIAL SERVICE AREA 92 - 1,South,0
2006,030680105,VILLAGE OF LANSING SPECIAL SERVICE AREA 92 - 2,South,0
2006,030680106,VILLAGE OF LANSING SPECIAL SERVICE AREA 93 - 1,South,0
2006,030680107,VILLAGE OF LANSING SPECIAL SERVICE AREA 93 - 2,South,0
2006,030680108,VILLAGE OF LANSING SPECIAL SERVICE AREA 93 - 4,South,0
2006,030690000,VILLAGE OF LEMONT,South,0
2006,030700000,VILLAGE OF LINCOLNWOOD,North,0
2006,030710000,VILLAGE OF LYNWOOD,South,0
2006,030720000,VILLAGE OF LYONS,South,0
2006,030720001,VILLAGE OF LYONS LIBRARY FUND,South,0
2006,030730000,CITY OF MARKHAM,South,0
2006,030730001,CITY OF MARKHAM LIBRARY FUND,South,0
2006,030730100,CITY OF MARKHAM SPECIAL SERVICE AREA 1,South,0
2006,030740000,VILLAGE OF MATTESON,South,0
2006,030740001,VILLAGE OF MATTESON LIBRARY FUND,South,0
2006,030750000,VILLAGE OF MAYWOOD,South,0
2006,030750100,VILLAGE OF MAYWOOD SPECIAL SERVICE AREA 6 - 1,South,0
2006,030750101,VILLAGE OF MAYWOOD SPECIAL SERVICE AREA 6 - 2,South,0
2006,030750102,VILLAGE OF MAYWOOD SPECIAL SERVICE AREA 6 - 3,South,0
2006,030760000,VILLAGE OF MC COOK,South,0
2006,030770000,VILLAGE OF MELROSE PARK,North,0
2006,030770001,VILLAGE OF MELROSE PARK LIBRARY FUND,North,0
2006,030770100,VILLAGE OF MELROSE PARK SPECIAL SERVICE AREA 1,South,0
2006,030780000,VILLAGE OF MERRIONETTE PARK,South,0
2006,030800000,VILLAGE OF MIDLOTHIAN,South,0
